loop,y1,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best
58,1767.25,2.399999999997269,2.3599999999999977,2.549999999999998,2.249999999999309,178.24999999999983,331.24999999999994,3527.25,4.449999999999994,171.34999999999994,2.349999999998961,2.449999999999973
59,1767.25,2.3999999999973465,2.3599999999999985,2.549999999999998,2.249999999999309,178.24999999999983,331.25,3527.25,4.45,171.34999999999994,2.349999999998964,2.449999999999981
60,1767.25,2.399999999999927,2.3599999999999985,2.549999999999998,2.249999999999676,178.24999999999983,331.25,3527.25,4.45,171.34999999999994,2.349999999999121,2.449999999999992
61,1767.25,2.399999999999927,2.3600000000000003,2.549999999999998,2.2499999999999862,178.24999999999983,331.25,3527.25,4.45,171.34999999999997,2.349999999999411,2.4499999999999957
62,1767.25,2.3999999999999497,2.3600000000000003,2.5499999999999994,2.249999999999996,178.24999999999997,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999892,2.4499999999999966
63,1767.25,2.3999999999999946,2.3600000000000003,2.5499999999999994,2.249999999999996,178.24999999999997,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999975,2.4499999999999984
64,1767.25,2.3999999999999946,2.3600000000000003,2.5499999999999994,2.249999999999996,178.24999999999997,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999976,2.4499999999999997
65,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.2499999999999964,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999997,2.45
66,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.249999999999998,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999997,2.4500000000000006
67,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.25,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999997,2.450000000000001
68,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.25,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3499999999999988,2.450000000000001
69,1767.25,2.4,2.3600000000000008,2.55,2.2500000000000004,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
70,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
71,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
72,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
73,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
74,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
75,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
76,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
77,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
78,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
79,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
80,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
81,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
82,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
83,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
84,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
85,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
86,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
87,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
88,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
89,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
90,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
91,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
92,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
93,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
94,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
95,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
96,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
97,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
98,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
99,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
100,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
